MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.4045,7.0,7.63523372061605,1.0440421507700621,12203.0,3.2972169683869224,37.53,-121.92,4.511
9.7194,9.0,8.306260575296108,0.9763113367174281,1981.0,3.3519458544839256,37.49,-121.89,5.00001
5.1643,10.0,5.0757162346521145,1.0832196452933152,3571.0,2.4358799454297406,37.49,-121.92,1.931
5.3813,23.0,6.924558587479936,1.0850722311396468,1972.0,3.1653290529695024,37.48,-121.92,2.644
6.0878,26.0,5.647058823529412,0.9019607843137255,1105.0,3.0952380952380953,37.47,-121.92,2.469
6.868,13.0,7.075,0.9789473684210527,2759.0,3.6302631578947366,37.47,-121.91,3.373
6.992,22.0,6.529202279202279,0.9779202279202279,4319.0,3.076210826210826,37.55,-122.03,2.848
4.9118,26.0,6.391304347826087,1.1014492753623188,1597.0,3.3064182194616976,37.55,-122.03,2.173
4.4357,23.0,6.155339805825243,1.033009708737864,1446.0,2.8077669902912623,37.55,-122.04,2.917
4.9464,26.0,5.689655172413793,0.9787798408488063,1285.0,3.4084880636604775,37.54,-122.04,2.238
5.2882,25.0,5.987197724039829,1.0398293029871977,2568.0,3.6529160739687057,37.54,-122.05,2.231
5.1321,23.0,5.160388821385176,1.014580801944107,2357.0,2.8639125151883356,37.55,-122.05,2.113
3.9667,25.0,5.008988764044944,1.0359550561797752,2998.0,3.3685393258426966,37.53,-122.04,2.185
3.1696,17.0,4.07,0.97,307.0,3.07,37.5,-122.04,1.563
5.0838,20.0,6.116037735849057,1.0075471698113208,3526.0,3.3264150943396227,37.54,-122.06,2.482
4.8214,35.0,5.523668639053255,1.014792899408284,1213.0,3.588757396449704,37.54,-122.03,1.86
4.1406,6.0,4.566510172143975,1.051643192488263,1911.0,2.9906103286384975,37.54,-122.03,1.782
3.7364,34.0,4.9593147751606,1.0235546038543897,1524.0,3.26338329764454,37.53,-122.04,1.904
3.535,31.0,5.254237288135593,1.11864406779661,719.0,3.0466101694915255,37.54,-122.02,2.103
5.0739,16.0,5.124137931034483,0.9839080459770115,3038.0,3.4919540229885055,37.54,-122.03,2.08
3.256,18.0,4.321782178217822,1.0816831683168318,1268.0,3.1386138613861387,37.53,-122.03,1.833
6.0667,19.0,6.44851904090268,1.004231311706629,2346.0,3.308885754583921,37.53,-122.01,2.457
5.7072,21.0,6.284875183553598,0.9882525697503671,2216.0,3.2540381791483113,37.53,-122.02,2.422
4.9867,7.0,4.826747720364741,1.0562310030395137,3223.0,2.4490881458966567,37.51,-122.0,1.817
5.1437,4.0,4.96480743691899,1.046480743691899,2937.0,1.950199203187251,37.72,-121.92,2.994
1.7213,44.0,4.894353369763206,1.1293260473588342,1521.0,2.7704918032786887,35.37,-119.02,0.616
2.2827,48.0,5.049586776859504,1.0909090909090908,947.0,2.608815426997245,35.36,-119.02,0.7
2.5062,47.0,5.177777777777778,1.0793650793650793,847.0,2.688888888888889,35.36,-119.02,0.737
1.9671,41.0,4.287394957983193,0.9983193277310924,1342.0,2.2554621848739496,35.36,-119.03,0.768
1.8801,38.0,4.6502732240437155,1.0382513661202186,1191.0,3.2540983606557377,35.37,-119.01,0.578
1.6797,38.0,4.927613941018767,1.0402144772117963,1203.0,3.225201072386059,35.36,-119.01,0.607
1.2157,36.0,5.024574669187145,1.1833648393194707,1490.0,2.816635160680529,35.36,-119.01,0.57
1.056,24.0,4.462068965517242,1.1126436781609195,1277.0,2.935632183908046,35.36,-119.01,0.516
1.2469,33.0,4.773255813953488,1.052325581395349,579.0,3.366279069767442,35.37,-119.01,0.467
0.9407,40.0,4.56989247311828,1.2204301075268817,764.0,4.10752688172043,35.36,-119.0,0.436
1.25,39.0,4.548223350253807,1.101522842639594,805.0,4.086294416243655,35.36,-119.0,0.425
1.4015,35.0,4.098591549295775,0.9753521126760564,992.0,3.492957746478873,35.35,-119.0,0.487
1.7375,35.0,4.2719665271966525,1.1715481171548117,1258.0,5.2635983263598325,35.36,-119.0,0.486
0.9675,36.0,4.7477203647416415,1.209726443768997,1223.0,3.717325227963526,35.37,-118.98,0.471
1.6981,29.0,5.4801762114537445,1.171806167400881,933.0,4.110132158590308,35.36,-118.98,0.494
1.2617,15.0,5.311827956989247,1.2114695340501793,1059.0,3.795698924731183,35.36,-118.98,0.427
1.1136,18.0,4.430232558139535,1.0290697674418605,1210.0,3.5174418604651163,35.36,-118.99,0.478
1.2232,31.0,4.405882352941177,1.0558823529411765,1168.0,3.4352941176470586,35.36,-118.99,0.493
3.1281,19.0,5.428,1.024,1823.0,3.646,35.36,-118.94,0.762
2.1078,30.0,4.759336099585062,1.053941908713693,1753.0,3.636929460580913,35.36,-118.95,0.547
1.9612,32.0,4.343220338983051,1.097457627118644,874.0,3.7033898305084745,35.37,-118.96,0.534
2.4848,35.0,4.760416666666667,1.0354166666666667,1738.0,3.620833333333333,35.36,-118.96,0.54
1.7197,34.0,4.377777777777778,1.0571428571428572,1156.0,3.6698412698412697,35.37,-118.97,0.489
1.5743,31.0,4.544871794871795,0.9807692307692307,1219.0,3.907051282051282,35.36,-118.97,0.467
3.2738,29.0,6.432532347504621,1.1238447319778189,2007.0,3.709796672828096,35.32,-118.95,0.787
1.7237,36.0,4.510917030567685,1.165938864628821,1112.0,4.85589519650655,34.0,-118.25,1.058
1.6382,36.0,4.027397260273973,1.0582191780821917,1267.0,4.339041095890411,34.0,-118.25,1.05
1.5781,32.0,4.006578947368421,1.125,1292.0,4.25,34.0,-118.25,1.029
1.303,41.0,3.729957805907173,1.0021097046413503,1721.0,3.630801687763713,34.0,-118.25,0.904
1.4792,34.0,3.656429942418426,1.0595009596928984,2194.0,4.211132437619962,34.0,-118.25,0.958
1.2056,23.0,3.398843930635838,0.9075144508670521,716.0,4.138728323699422,34.0,-118.24,0.875
0.9463,43.0,4.614973262032086,1.1016042780748663,788.0,4.213903743315508,34.0,-118.24,0.95
2.2813,29.0,4.476340694006309,1.1451104100946372,1696.0,5.350157728706624,34.0,-118.25,1.013
1.7132,38.0,4.408740359897172,1.06426735218509,1714.0,4.406169665809768,34.0,-118.24,1.082
1.875,44.0,4.666666666666667,1.2083333333333333,504.0,5.25,33.99,-118.24,0.986
1.6731,41.0,4.036827195467422,1.0538243626062322,1803.0,5.1076487252124645,33.99,-118.24,0.882
1.5556,42.0,4.290322580645161,1.0891840607210626,2496.0,4.7362428842504745,33.99,-118.25,0.985
2.1793,39.0,3.932098765432099,0.9845679012345679,1362.0,4.203703703703703,33.99,-118.25,1.079
0.8941,27.0,3.517467248908297,1.0458515283842795,1457.0,3.1812227074235806,34.0,-118.26,0.919
